[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
[2023-08-14 18:37:48,430] - logger_.py] - ERROR: 查询真分期最大可借金额失败:{'code': -4, 'msg': '产品机构商户信息不能为空', 'data': None, 'traceId': '6ed0505b0ee644ce8b896dd26c50e5ff.148.16920094674017649', 'paginNation': {'total': 0, 'pageNo': 0, 'pageSize': 0, 'pages': 0}, 'skyWalkingDynamicField': None, 'success': False}
